text,clean_text,len
What is the rallying cry of the International Dyslexic Pride movement? Dyslexics Untie!,rallying cry international dyslexic pride movement dyslexics untie,13
"An engineer, a physicist and a mathematician are sleeping in a room. There is a fire in the room. The engineer wakes up, sees the fire, picks up the bucket of water and douses the fire and goes back to sleep. Again there is fire in the room. This time, the physicist wakes up, notices the bucket, fills it with water, calculates the optimal trajectory and douses the fire in minimum amount of water and goes back to sleep. Again there is fire. This time the mathematician wakes up. He looks at the fire, looks at the bucket and the water and exclaims, ""A solution exists"" and goes back to sleep.",engineer physicist mathematician sleeping room fire room engineer wake see fire pick bucket water douses fire go back sleep fire room time physicist wake notice bucket fill water calculates optimal trajectory douses fire minimum amount water go back sleep fire time mathematician wake look fire look bucket water exclaims solution exists go back sleep,111
"Arnold Swartzeneger and Sylvester Stallone are making a movie about the lives of the great composers. Stallone says ""I want to be Mozart."" Swartzeneger says: ""In that case... I'll be Bach.""",arnold swartzeneger sylvester stallone making movie life great composer stallone say want mozart swartzeneger say case bach,31
"Q: How many stalkers does it take to change a light bulb? A: Two. One to replace the bulb, and the other to watch it day and night.",q many stalker take change light bulb two one replace bulb watch day night,28
"Out in the backwoods of some midwestern state, little Johnny arrives at school an hour late. Teacher: ""Why are you so late, John?"" Johny : ""My big brother got shot in the ass."" (the teacher corrects his speech) Teacher: ""Rectum."" Johnny : ""Wrecked him!? Hell, It damn near killed him!""",backwoods midwestern state little johnny arrives school hour late teacher late john johny big brother got shot as teacher corrects speech teacher rectum johnny wrecked hell damn near killed,50
"Q: What is the difference between Mechanical Engineers and Civil Engineers? A: Mechanical Engineers build weapons, Civil Engineers build targets.",q difference mechanical engineers civil engineers mechanical engineers build weapon civil engineers build target,20
"This couple had an excellent relationship going until one day he came home from work to find his girlfriend packing. He asked her why she was leaving him and she told him that she had heard awful things about him. ""What could they possibly have said to make you move out?"" ""They told me that you were a pedophile."" He replied, ""That's an awfully big word for a ten year old.""",couple excellent relationship going one day came home work find girlfriend packing asked leaving told heard awful thing could possibly said make move told pedophile replied awfully big word ten year old,71
"A boy comes home from school and tells his mother that he got a part in the school play. ""What part?"" the mother asked. ""I play a Jewish husband,"" the boy replied. ""Go back to school and tell your teacher that you want a speaking role!""",boy come home school tell mother got part school play part mother asked play jewish husband boy replied go back school tell teacher want speaking role,46
"What does an atheist say during an orgasm? ""Oh Darwin! Oh Darwin!...""",atheist say orgasm oh darwin oh darwin,12
"A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" The man says, ""Methodist."" St. Peter looks down his list, and says, ""Go to room 24, but be very quiet as you pass room 8."" Another man arrives at the gates of heaven. ""Religion?"" ""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" A third man arrives at the gates. ""Religion?"" ""Jewish."" ""Go to room 11, but be very quiet as you pass room 8."" The man says, ""I can understand there being different rooms for different religions, but why must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, and they think they're the only ones here.",man arrives gate heaven peter asks religion man say methodist peter look list say go room _num_ quiet pas room _num_ another man arrives gate heaven religion baptist go room _num_ quiet pas room _num_ third man arrives gate religion jewish go room _num_ quiet pas room _num_ man say understand different room different religion must quiet pas room _num_ peter tell well catholics room _num_ think one,125
What is the difference between men and women: A woman wants one man to satisfy her every need. A man wants every woman to satisfy his one need.,difference men woman woman want one man satisfy every need man want every woman satisfy one need,28
Q: What's the difference between the government and the Mafia? A: One of them is organized.,q difference government mafia one organized,16
Q: Do you know the difference between an intelligent male and the Sasquatch? A: There have been actual reported sightings of the Sasquatch.,q know difference intelligent male sasquatch actual reported sighting sasquatch,23
"Two cannibals are eating a clown, one turns to other and says: ""Does this taste funny to you?",two cannibal eating clown one turn say taste funny,18
"Q: Ever wonder why the IRS calls it Form 1040? A: Because for every $50 that you earn, you get 10 and they get 40.",q ever wonder irs call form _num_ every _num_ earn get _num_ get _num_ ,25
"Reaching the end of a job interview, the human resources person asked a young engineer fresh out of Stanford, ""And what starting salary were you looking for?"" The engineer said, ""In the neighborhood of $125,000 a year, depending on the benefits package."" The interviewer said, ""Well, what would you say to a package of 5-weeks vacation, 14 paid holidays, full medical and dental, company matching retirement fund to 50% of salary, and a company car leased every 2 years - say, a red Corvette?"" The Engineer sat up straight and said, ""Wow! Are you kidding?"" And the interviewer replied, ""Yeah, but you started it.""",reaching end job interview human resource person asked young engineer fresh stanford starting salary looking engineer said neighborhood year depending benefit package interviewer said well would say package vacation _num_ paid holiday full medical dental company matching retirement fund _num_ salary company car leased every _num_ year say red corvette engineer sat straight said wow kidding interviewer replied yeah started,104
"There once was a man and a woman that both got in a terrible car wreck. Both of their vehicles were completely destroyed, buy fortunately, no one was hurt. In thankfulness, the woman said to the man, 'We are both okay, so we should celebrate. I have a bottle of wine in my car, let's open it.' So the woman got the bottleout of the car, and handed it to the man. The man took a really big drink, and handed the woman the bottle. The woman closed the bottle and put it down. The man asked, 'Aren't you going to take a drink?' The woman cleverly replied, 'No, I think I'll just wait for the cops to get here.'",man woman got terrible car wreck vehicle completely destroyed buy fortunately one hurt thankfulness woman said man okay celebrate bottle wine car let open woman got bottleout car handed man man took really big drink handed woman bottle woman closed bottle put man asked going take drink woman cleverly replied think wait cop get,120
"The graduate with a Science degree asks, ""Why does it work?"" The graduate with an Engineering degree asks, ""How does it work?"" The graduate with an Accounting degree Asks, ""How much will it cost?"" The graduate with a Liberal Arts degree asks, ""Do you want fries with that?""",graduate science degree asks work graduate engineering degree asks work graduate accounting degree asks much cost graduate liberal arts degree asks want fry,48
"Q: What is the difference between George Washington, Richard Nixon, and Bill Clinton? A: Washington couldn't tell a lie, Nixon couldn't tell the truth, and Clinton doesn't know the difference.",q difference george washington richard nixon bill clinton washington could tell lie nixon could tell truth clinton know difference,30
"Two atoms are walking down the street when one atom says to the other ""Oh, my! I've lost an electron!"" The second atom says""Are you sure"" The first replies ""I'm positive!""",two atom walking street one atom say oh lost electron second atom say sure first reply positive,31
"A man visits the doctor. The doctor says ""I have bad news for you.You have cancer and Alzheimer's disease"". The man replies ""Well,thank God I don't have cancer!""",man visit doctor doctor say bad news cancer alzheimer disease man reply well thank god cancer,28
Q: What do Monica Lewinsky and Bob Dole have in common? A: They were both upset when Bill finished first.,q monica lewinsky bob dole common upset bill finished first,20
"They asked the Japanese visitor if they have elections in his country. ""Every Morning"" he answers.",asked japanese visitor election country every morning answer,16
"A Panda bear walks into a bar. Sits down at a table and orders a beer and a double cheeseburger. After he is finished eating, he pulls out a gun and rips the place with gunfire. Patrons scatter and dive under chairs and tables as the bear runs out the door. After ensuring that no one is hurt, the bartender races out the door, and calls after the bear ""What the hell did you do that for?"" The bear calls back, ""I'm a Panda bear. Look it up in the dictionary."" The bartender returns, pulls out his dictionary. panda : \Pan""da\, n. (Zo[""o]l.) A small Asiatic mammal (Ailurus fulgens) having fine soft fur. It is related to the bears, and inhabits the mountains of Northern India. Eats shoots and leaves.",panda bear walk bar sits table order beer double cheeseburger finished eating pull gun rip place gunfire patrons scatter dive chair table bear run door ensuring one hurt bartender race door call bear hell bear call back panda bear look dictionary bartender return pull dictionary panda zo small asiatic mammal ailurus fulgens fine soft fur related bear inhabits mountain northern india eats shoot leaf,130
"How many Irishmen does it take to change a lightbulb? Two, one to hold the lightbulb and the other to drink until the room spins.",many irishmen take change lightbulb two one hold lightbulb drink room spin,25
"Age and Womanhood 1. Between the ages of 13 and 18 ... She is like Africa, virgin and unexplored. 2. Between the ages of 19 and 35 ... She is like Asia, hot and exotic. 3. Between the ages of 36 and 45 ... She is like America, fully explored, breathtakingly beautiful,and free with her resources. 4. Between the ages of 46 and 56 ... She is like Europe, exhausted but still has points of interest. 5. After 56 she is like Australia ... Everybody knows it's down there, but who gives a damn?",age womanhood _num_ age _num_ _num_ like africa virgin unexplored _num_ age _num_ _num_ like asia hot exotic _num_ age _num_ _num_ like america fully explored breathtakingly beautiful free resource _num_ age _num_ _num_ like europe exhausted still point interest _num_ _num_ like australia everybody know give damn,94
Q: What's the difference between a Lawyer and a Plumber? A: A Plumber works to unclog the system.,q difference lawyer plumber plumber work unclog system,18
Q: How many Presidents does it take to screw in a light bulb? A: It depends upon your definition of screwing a light bulb.,q many presidents take screw light bulb depends upon definition screwing light bulb,24
Q: Whats the difference between greeting a Queen and greeting the President of the United States? A: You only have to get on one knee to greet the queen.,q whats difference greeting queen greeting president united states get one knee greet queen,29
What's the difference between a MacIntosh and an Etch-A-Sketch? You don't have to shake the Mac to clear the screen.,difference macintosh shake mac clear screen,20
"Early one morning a mother went to her sleeping son and woke him up. ""Wake up, son. It's time to go to school."" ""But why, Mama? I don't want to go to school."" ""Give me two reasons why you don't want to go to school."" ""One, all the children hate me. Two, all the teachers hate me,"" ""Oh! that's no reason. Come on, you have to go to school,"" ""Give me two good reasons WHY I should go to school?"" ""One, you are fifty-two years old. Two, you are the principal of the school.""",early one morning mother went sleeping son woke wake son time go school mama want go school give two reason want go school one child hate two teacher hate oh reason come go school give two good reason go school one year old two principal school,94
"Hillary, Bill Clinton and the Pope are sitting together on an airplane. Bill says ""I could throw one thousand dollar bill out of this plane and make one person very happy."" Hillary says ""I could throw 10 hundred dollar bills out of the plane and make 10 people very happy."" The Pope chips in and says ""I could throw Bill out of the airplane and make the whole country happy.""",hillary bill clinton pope sitting together airplane bill say could throw one thousand dollar bill plane make one person happy hillary say could throw _num_ hundred dollar bill plane make _num_ people happy pope chip say could throw bill airplane make whole country happy,70
"A neutron walks into a bar and orders a drink. ""How much do I owe you?"" the neutron asks. The bartender replies, ""for you, no charge.""",neutron walk bar order drink much owe neutron asks bartender reply charge,26
"A Czechoslovakian man felt his eyesight was growing steadily worse, and felt it was time to go see an optometrist. The doctor started with some simple testing, and showed him a standard eye chart with letters of diminishing size: CRKBNWXSKZY. . . ""Can you read this?"" the doctor asked. ""Read it?"" the Czech answered. ""Doc, I know him!""",czechoslovakian man felt eyesight growing steadily worse felt time go see optometrist doctor started simple testing showed standard eye chart letter diminishing size crkbnwxskzy read doctor asked read czech answered doc know,58
"A mechanical, electrical and a software engineer from Microsoft were driving through the desert when the car broke down. The mechanical engineer said ""It seems to be a problem with the fuel injection system, why don't we pop the hood and I'll take a look at it."" To which the electrical engineer replied, ""No I think it's just a loose ground wire, I'll get out and take a look."" Then, the Microsoft engineer jumps in. ""No, no, no. If we just close up all the windows, get out, wait a few minutes, get back in, and then reopen the windows everything will work fine.""",mechanical electrical software engineer microsoft driving desert car broke mechanical engineer said seems problem fuel injection system pop hood take look electrical engineer replied think loose ground wire get take look microsoft engineer jump close window get wait minute get back reopen window everything work fine,104
"A radio conversation of a US naval ship with Canadian authorities ... Americans: Please divert your course 15 degrees to the North to avoid a collision. Canadians: Recommend you divert YOUR course 15 degrees to the South to avoid a collision. Americans: This is the Captain of a US Navy ship. I say again, divert YOUR course. Canadians: No. I say again, you divert YOUR course. Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship. Canadians: This is a lighthouse. Your call.",radio conversation us naval ship canadian authority americans please divert course _num_ degree north avoid collision canadians recommend divert course _num_ degree south avoid collision americans captain us navy ship say divert course canadians say divert course americans aircraft carrier uss lincoln second largest ship united states atlantic fleet accompanied three destroyer three cruiser numerous support vessel demand change course _num_ degree north one five degrees north undertaken ensure safety ship canadians lighthouse call,130
"Once upon a time, two brooms fell in love and decided to get married. Before the ceremony, the bride broom informed the groom broom that she was expecting a little whiskbroom. The groom broom was aghast! ""How is this possible?"" he asked. ""We've never swept together!",upon time two broom fell love decided get married ceremony bride broom informed groom broom expecting little whiskbroom groom broom aghast possible asked never swept together,46
"There was an engineer who had an exceptional gift for fixing all things mechanical. After serving his company loyally for over 30 years, he happily retired. Several years later the company contacted him regarding a seemingly impossible problem they were having with one of their multi-million dollar machines. They had tried everything and everyone else to get the machine fixed, but to no avail. In desperation, they called on the retired engineer who had solved so many of their problems in the past. The engineer reluctantly took the challenge. He spent a day studying the huge machine. At the end of the day, he marked a small ""x"" in chalk on a particular component of the machine and proudly stated, ""This is where your problem is"". The part was replaced and the machine worked perfectly again. The company received a bill for $50,000 from the engineer for his service.They demanded an itemized accounting of his charges. The engineer responded briefly: One chalk mark $1 Knowing where to put it $49,999 It was paid in full and the engineer retired again in peace.",engineer exceptional gift fixing thing mechanical serving company loyally _num_ year happily retired several year later company contacted regarding seemingly impossible problem one dollar machine tried everything everyone else get machine fixed avail desperation called retired engineer solved many problem past engineer reluctantly took challenge spent day studying huge machine end day marked small x chalk particular component machine proudly stated problem part replaced machine worked perfectly company received bill engineer demanded itemized accounting charge engineer responded briefly one chalk mark _num_ knowing put paid full engineer retired peace,182
"During a recent publicity outing, Hillary sneaked off to visit a fortune teller of some local repute. In a dark and hazy room, peering into a crystal ball, the mystic delivered grave news. ""There's no easy way to say this, so I'll just be blunt: Prepare yourself to be a widow. Your husband will die a violent and horrible death this year."" Visibly shaken, Hillary stared at the woman's lined face, then at the single flickering candle, then down at her hands. She took a few deep breaths to compose herself. She simply had to know. She met the fortune teller's gaze, steadied her voice, and asked her question. ""Will I be acquitted?""",recent publicity outing hillary sneaked visit fortune teller local repute dark hazy room peering crystal ball mystic delivered grave news easy way say blunt prepare widow husband die violent horrible death year visibly shaken hillary stared woman lined face single flickering candle hand took deep breath compose simply know met fortune teller gaze steadied voice asked question acquitted,113
"What a woman says: ""This place is a mess! C'mon, You and I need to clean up, Your stuff is lying on the floor and you'll have no clothes to wear, if we don't do laundry right now!"" What a man hears: blah, blah, blah, blah, C'mon blah, blah, blah, blah, you and I blah, blah, blah, blah, on the floor blah, blah, blah, blah, no clothes blah, blah, blah, blah, RIGHT NOW!",woman say place mess need clean stuff lying floor clothes wear laundry right man hears blah blah blah blah blah blah blah blah blah blah blah blah floor blah blah blah blah clothes blah blah blah blah right,73
A bus station is where a bus stops. A train station is where a train stops. On my desk I have a work station...,bus station bus stop train station train stop desk work station,24
"A guy walks into a bar, orders a beer and says to the bartender, ""Hey, I got this great Polish Joke..."" The barkeep glares at him and says in a warning tone of voice: ""Before you go telling that joke you better know that I'm Polish, both bouncers are Polish and so are most of my customers"" ""Okay"" says the customer,""I'll tell it very slowly.""",guy walk bar order beer say bartender hey got great polish joke barkeep glare say warning tone voice go telling joke better know polish bouncer polish customer okay say customer tell slowly,65
"Two attorneys went into a diner and ordered two drinks. Then they produced sandwiches from their briefcases and started to eat. The owner became quite concerned and marched over and told them, ""You can't eat your own sandwiches in here!"" The attorneys looked at each other, shrugged their shoulders and then exchanged sandwiches.",two attorney went diner ordered two drink produced sandwich briefcase started eat owner became quite concerned marched told ca eat sandwich attorney looked shrugged shoulder exchanged sandwich,53
"A Jewish young man was seeing a psychiatrist for an eating and sleeping disorder. ""I am so obsessed with my mother... As soon as I go to sleep, I start dreaming, and everyone in my dream turns into my mother. I wake up in such a state, all I can do is go downstairs and eat a piece of toast."" The psychiatrist replies: ""What, just one piece of toast, for a big boy like you?""",jewish young man seeing psychiatrist eating sleeping disorder obsessed mother soon go sleep start dreaming everyone dream turn mother wake state go downstairs eat piece toast psychiatrist reply one piece toast big boy like,75
"A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts ""Excuse me, can you tell me where I am?"" The man below says: ""Yes, you're in a hot air balloon, about 30 feet above this field."" ""You must work in Information Technology,"" says the balloonist. ""Yes I do,"" replies the man. ""And how did you know that?"" ""Well,"" says the balloonist, ""what you told me is technically correct, but of no use to anyone."" The man below says, ""You must work in management."" ""I do,"" replies the balloonist, ""how did you know?"" ""Well,"" says the man, ""you don't know where you are, or where you're going, but you expect my immediate help. You're in the same position you were before we met, but now it's my fault!""",man piloting hot air balloon discovers wandered course hopelessly lost descends lower altitude locates man ground lower balloon shout excuse tell man say yes hot air balloon _num_ foot field must work information technology say balloonist yes reply man know well say balloonist told technically correct use anyone man say must work management reply balloonist know well say man know going expect immediate help position met fault,155
"An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. ""Ah, lad look out that window. You see that stone wall there, I built it with me own bare hands, placed every stone meself. But do they call me MacGregor the wall builder? No! He Takes a few sips of his beer then says, ""Aye, and look out on that lake and eye that beautiful pier. I built it meself, laid every board and hammered each nail but do they call me MacGregor the pier builder? No! He continues...""And lad, you see that road? That too I build with me own bare hands. Laid every inch of pavement meself, but do they call MacGregor the road builder? No!"" Again he returns to his beer for a few sips, then says, ""Agh, but you screw one sheep...""",old scotsmen sitting younger scottish gentleman say boy ah lad look window see stone wall built bare hand placed every stone meself call macgregor wall builder takes sip beer say aye look lake eye beautiful pier built meself laid every board hammered nail call macgregor pier builder continues lad see road build bare hand laid every inch pavement meself call macgregor road builder return beer sip say agh screw one sheep,140
"The Chukcha (Russian Eskimo) phones up the Russian Parliament Building. A guard answers. Chukcha: ""What is required to become Parliament member?"" Guard: ""What are you, an idiot?"" Chukcha: ""Is it required?""",chukcha russian eskimo phone russian parliament building guard answer chukcha required become parliament member guard idiot chukcha required,31
Q. What's 200 feet long and has 4 teeth? A. The front row at a Willie Nelson Concert.,q _num_ foot long _num_ teeth front row willie nelson concert,18
"A country guy goes into a city bar that has a dress code, and the maitre d' demands he wear a tie. Discouraged, the guy goes to his car to sulk when inspiration strikes: He's got jumper cables in the trunk! So he wraps them around his neck, sort of like a string tie (a bulky string tie to be sure) and returns to the bar. The maitre d' is reluctant, but says to the guy, ""Okay, you're a pretty resourceful fellow, you can come in... but just don't start anything""!",country guy go city bar dress code maitre demand wear tie discouraged guy go car sulk inspiration strike got jumper cable trunk wrap around neck sort like string tie bulky string tie sure return bar maitre reluctant say guy okay pretty resourceful fellow come start anything,91
"Q. What do a hurricane, a tornado, and a redneck divorce all have in common? A. Someone's going to lose their trailer...",q hurricane tornado redneck divorce common someone going lose trailer,22
"Clinton returns from a vacation in Arkansas and walks down the steps of Air Force One with two pigs under his arms. At the bottom of the steps, he says to the honor guardsman, ""These are genuine Arkansas Razor-Back Hogs. I got this one for Chelsea and this one for Hillary."" The guardsman replies, ""Nice trade, Sir.""",clinton return vacation arkansas walk step air force one two pig arm bottom step say honor guardsman genuine arkansas hogs got one chelsea one hillary guardsman reply nice trade sir,57
"At a recent Sacramento PC Users Group meeting, a company was demonstrating its latest speech- recognition software. A representative from the company was just about ready to start the demonstration and asked everyone in the room to quiet down. Just then someone in the back of the room yelled, ""Format C: Return."" Someone else chimed in: ""Yes, Return"" Unfortunately, the software worked.",recent sacramento pc users group meeting company demonstrating latest recognition software representative company ready start demonstration asked everyone room quiet someone back room yelled format c return someone else chimed yes return unfortunately software worked,62
"Employer to applicant: ""In this job we need someone who is responsible."" Applicant: ""I'm the one you want. On my last job, every time anything went wrong, they said I was responsible.""",employer applicant job need someone responsible applicant one want last job every time anything went wrong said responsible,32
What did the Buddhist say to the hot dog vendor? Make me one with everything.,buddhist say hot dog vendor make one everything,15
Q: What did the blind person say when given some matzah? A: Who the hell wrote this?,q blind person say given matzah hell wrote,17
"President Clinton looks up from his desk in the Oval Office to see one of his aides nervously approach him. ""What is it?"" exclaims the President. ""It's this Abortion Bill Mr. President, what do you want to do about it?"" the aide replies. ""Just go ahead and pay it."" responds the President.",president clinton look desk oval office see one aide nervously approach exclaims president abortion bill president want aide reply go ahead pay responds president,52
