id,region,name,res1,res2,res3,res4,res5,res6
160,atlanta,Skeeter's,565,146,17,16,589,543
161,atlanta,Vickery's,60,227,371,552,34,441
162,atlanta,57th Fighter Group,219,133,227,323,60,221
163,atlanta,Dante's Down the Hatch,644,501,669,2,206,1
164,atlanta,Stringer's Fish Camp,652,565,315,288,17,397
165,atlanta,Fichi,288,652,534,149,555,410
166,atlanta,LA GROTTA,418,659,627,640,116,576
167,atlanta,Everybody's Pizza,671,334,573,106,117,380
168,atlanta,Scalini's,133,671,54,334,573,109
169,atlanta,The Abbey,501,669,644,659,26,418
170,atlanta,1848 House,659,199,244,223,661,620
171,atlanta,Brookwood Grill,293,13,133,16,148,198
172,atlanta,Killeen's,501,198,146,2,206,635
173,atlanta,Carbo's Cafe,576,418,620,659,603,225
174,atlanta,Rocky's Brick Oven Pizza,671,407,5,482,478,354
175,atlanta,Gorin's Diner,75,671,133,452,573,438
176,atlanta,Georgia Grille,516,612,241,392,457,453
177,atlanta,Camille's,395,642,431,233,474,518
178,atlanta,NIKOLAI'S ROOF,418,640,27,659,105,426
179,atlanta,Bagelicious,114,427,304,380,319,583
180,atlanta,The King and I,276,22,288,91,15,139
181,atlanta,Provino's,397,134,334,17,288,652
182,atlanta,Khan's,221,227,512,334,17,565
183,atlanta,Robert's,174,206,332,146,408,501
184,atlanta,PANO'S AND PAUL'S,659,418,116,307,640,187
185,atlanta,Romanian Restaurant,121,516,308,667,302,233
186,atlanta,August Moon,546,616,565,196,229,186
187,atlanta,New Bagel Eatery,427,106,541,380,67,652
188,atlanta,Atkins Park Deli,133,219,75,252,60,573
189,atlanta,Blue Ribbon Grill,671,452,652,378,166,438
190,atlanta,St. Charles Deli,671,438,54,452,323,133
191,atlanta,Einstein's,227,133,54,671,197,60
192,atlanta,Hot Pepper Thai Cuisine,99,407,19,205,183,423
193,atlanta,Dailey's,107,148,332,163,653,441
194,atlanta,BUCKHEAD DINER,620,10,282,197,164,426
195,atlanta,Hal's on Old Ivy,148,293,262,422,460,302
196,atlanta,Heera of India,408,213,239,397,565,458
197,atlanta,Huey's,671,106,438,117,573,541
198,atlanta,Chequers,516,70,121,148,450,233
199,atlanta,Shillings on the Square,219,85,411,512,361,7
200,atlanta,La Tour,659,418,501,576,620,357
201,atlanta,De Palma's,334,54,221,323,106,397
202,atlanta,Sun Dial,17,642,361,133,665,120
203,atlanta,Oriental Pearl,17,642,643,255,654,546
204,atlanta,AZALEA,164,661,52,563,612,621
205,atlanta,Orient at Vinings,443,662,10,509,469,89
206,atlanta,Original Pancake House,221,541,498,493,489,334
207,atlanta,Highland Tap Steak Cellar,137,60,565,552,518,441
208,atlanta,Taste of Thai,407,205,22,397,616,292
209,atlanta,Bucket Shop,671,219,378,573,75,632
210,atlanta,Dawat Indian Cafe,380,407,652,106,288,114
211,atlanta,Peking,509,392,488,453,137,614
212,atlanta,South of France Restaurant,62,408,206,302,174,379
213,atlanta,Anne Marie's,379,121,302,661,148,87
214,atlanta,Haveli,661,509,524,516,437,86
215,atlanta,Altobeli's Fine Italian Cuisine,546,146,408,453,137,488
216,atlanta,Imperial Fez,418,620,370,576,644,225
217,atlanta,CIBOULETTE,644,636,246,282,627,564
218,atlanta,OK Cafe,133,44,293,146,507,106
219,atlanta,Capri Ristorante,565,149,170,534,71,500
220,atlanta,Villa D'este,661,595,348,244,437,563
221,atlanta,Ember's Seafood Grille,565,38,349,265,222,603
222,atlanta,VAN GOGH'S,244,661,225,659,563,76
223,atlanta,Asti Trattoria,379,163,121,62,450,653
224,atlanta,Trattoria La Strada,313,443,10,192,645,348
225,atlanta,Trader Vic's,163,667,653,162,161,349
226,atlanta,GREENWOOD'S ON GREEN STREET,133,661,563,294,293,187
227,atlanta,Addis,288,652,336,315,397,565
228,atlanta,American Roadhouse,133,44,671,75,438,652
229,atlanta,Red Barn Inn,565,661,225,138,58,116
230,atlanta,103 WEST,659,576,418,405,116,225
231,atlanta,Jalisco,398,482,341,350,354,380
232,atlanta,The Chart House,133,450,667,148,612,332
233,atlanta,Ho Ho,186,595,241,603,222,418
234,atlanta,BONE'S,187,576,90,603,653,524
235,atlanta,Aleck's Barbeque,166,541,546,216,106,227
236,atlanta,Bernard's,565,501,379,163,62,669
237,atlanta,William's Seafood,79,671,304,334,365,227
238,atlanta,Delectables,438,288,496,661,565,643
239,atlanta,Grand China,652,565,334,315,288,397
240,atlanta,Yen Jing,133,137,565,312,502,86
241,atlanta,The Pleasant Peasant,620,223,116,659,576,418
242,atlanta,Lettuce Souprise You,288,652,565,44,198,555
243,atlanta,Thai House,565,53,255,32,233,9
244,atlanta,RJ's Wine Bar Cafe,516,121,233,450,227,488
245,atlanta,Chile Tree,137,546,584,509,453,432
246,atlanta,Fisherman's Cove,421,323,109,512,227,49
247,atlanta,Broadway Danny's,106,380,398,482,517,192
248,atlanta,Sam's Gourmet Chinese Seafood,508,671,54,304,427,438
249,atlanta,Swan Coach House,198,501,392,233,21,308
250,atlanta,Nuevo Laredo Cantina,496,517,420,624,205,99
251,atlanta,"The Varsity, Jr.",642,652,478,17,133,507
252,atlanta,L & N Seafood Grill,546,452,219,227,642,590
253,atlanta,Aunt Fanny's Cabin,546,62,163,620,501,653
254,atlanta,Babette's Cafe,565,174,121,509,488,653
255,atlanta,Bangkok,334,673,652,315,642,265
256,atlanta,Barbecue Kitchen,643,407,17,642,546,53
257,atlanta,Havana Sandwich Shop,661,603,563,671,299,466
258,atlanta,Oscar's Villa Capri,595,364,241,524,162,392
259,atlanta,Honto,380,106,114,129,508,427
260,atlanta,Red Hot and Blue,546,133,438,323,671,219
261,atlanta,Soul Vegetarian,288,565,233,222,642,397
262,atlanta,Soul Vegetarian,288,133,584,163,146,546
263,atlanta,Peachtree Cafe,644,148,516,163,227,233
264,atlanta,Don Juan,323,620,418,439,206,408
265,atlanta,Hashiguchi,502,294,563,188,437,10
266,atlanta,THE HEDGEROSE HEIGHTS INN,627,640,564,242,246,418
0,boston,CAFFE LUNA,322,308,542,64,552,61
1,boston,Chez Jean,62,379,644,661,646,226
2,boston,Sibel,409,454,536,639,373,360
3,boston,Veronique,138,69,466,169,244,644
4,boston,Warren Tavern,361,2,332,371,197,198
5,boston,DIVISION SIXTEEN,369,227,565,219,427,288
6,boston,ACROPOLIS,438,671,452,54,489,75
7,boston,Copley Sports Saloon,20,606,238,297,184,248
8,boston,MORTON'S OF CHICAGO,10,469,626,164,524,636
9,boston,O'Fado,565,588,642,205,652,17
10,boston,OPEN SESAME,438,508,288,430,365,427
11,boston,Yenching Palace,358,508,304,445,318,157
12,boston,OASIS CAFE,133,546,496,369,61,652
13,boston,DAILY CATCH,643,645,288,420,496,444
14,boston,Ten Huntington Bar & Grill,349,332,21,653,669,667
15,boston,MING GARDEN,427,221,334,118,17,391
16,boston,Cantin Abruzzi,424,228,471,565,64,362
17,boston,224 Boston St.,409,373,585,93,184,536
18,boston,Lyceum Bar & Grill,148,332,408,206,38,608
19,boston,TANDOOR HOUSE,80,284,55,101,570,338
20,boston,HO YUEN TING SEAFOOD,129,430,166,427,358,114
21,boston,RITZ DINING ROOM,640,105,418,564,370,620
22,boston,CHATTERLEY'S,219,135,194,632,512,674
23,boston,Durgin Park,606,238,20,637,271,297
24,boston,IL CAPRICCIO,164,469,348,142,563,175
25,boston,Sultan's Kitchen,288,427,661,430,671,365
26,boston,L'ESPALIER,105,640,564,370,426,418
27,boston,BELLA NAPOLI,619,587,240,91,231,149
28,boston,LITTLE OSAKA,322,645,516,568,542,137
29,boston,57 RESTAURANT,298,163,392,206,408,126
30,boston,Gill's Grill,148,38,507,450,349,343
31,boston,"VILLAGE FISH, THE",643,642,134,652,288,565
32,boston,CIRO'S,565,215,122,42,41,384
33,boston,Schroeder's,667,206,38,545,91,148
34,boston,SHILLA,481,45,65,607,118,221
35,boston,IL DOLCE MOMENTO,113,75,497,388,133,304
36,boston,Vin & Eddie's,86,241,379,226,206,255
37,boston,STAR OF SIAM,78,204,336,68,473,139
38,boston,Piccola Venezia,0,106,59,520,510,435
39,boston,Willow Pond Kitchen,573,452,508,671,288,157
40,boston,DAVIO'S,661,595,437,162,144,241
41,boston,Tam O'Shanter,424,228,471,565,64,362
42,boston,SHERBORN INN,198,659,225,460,21,501
43,boston,CLUB CAFE,206,644,371,635,197,60
44,boston,CARL'S PAGODA,427,311,129,607,255,521
45,boston,Schifino,103,163,83,13,525,379
46,boston,GENJI,174,302,87,413,161,450
47,boston,CHARLEY'S SALOON,60,565,219,109,421,512
48,boston,LOCKE-OBER CAFE,576,620,640,90,418,105
49,boston,Hanmiok,0,559,261,269,106,359
50,boston,JIMBO'S FISH SHANTY,565,17,642,652,134,222
51,boston,DOM'S,565,379,62,315,669,661
52,boston,Paolo Ristorante,675,490,124,526,515,136
53,boston,Brasserie Les Halles,379,574,62,121,43,160
54,boston,Bentonwood Bakery,675,490,124,526,515,136
55,boston,Los Andes,316,157,329,219,133,444
56,boston,Jacob Wirth Restaurant,396,425,109,674,641,85
57,boston,Bridge Street Cafe,52,174,293,294,612,661
58,boston,SERENDIPITY III,227,60,133,219,546,221
59,boston,REDBONES,288,652,671,517,44,420
60,boston,BRISTOL LOUNGE,169,90,446,27,644,277
61,boston,Ocean Wealth,352,647,675,492,526,124
62,boston,Kowloon,308,408,608,134,163,392
63,boston,LA TRATTORIA,565,254,288,149,266,439
64,boston,TASTE OF INDIA,233,101,642,222,210,55
65,boston,Jimmy Mac's  (CLOSED),671,166,333,369,216,106
66,boston,MISTER LEUNG'S,576,620,659,223,636,282
67,boston,CAFFE VITTORIA,293,343,333,369,491,133
68,boston,JOE'S AMERICAN BAR & GRILL,60,671,227,197,632,278
69,boston,Red Lion,608,308,91,206,408,667
70,boston,GOLDEN TEMPLE,642,134,64,133,221,334
71,boston,MAGIC PAN,109,512,113,60,221,421
72,boston,Mattapoisett Inn,379,62,635,126,163,121
73,boston,BORDER CAFE,369,106,671,68,562,380
74,boston,ST. CLOUD,644,603,230,611,636,90
75,boston,Porterhouse Cafe,216,483,106,589,380,642
76,boston,NEW BRIDGE CAFE,133,106,598,369,131,359
77,boston,Loading Zone,644,227,546,17,603,134
78,boston,The Charles Restaurant,565,652,501,103,329,646
79,boston,Marino's,625,492,372,81,367,366
80,boston,New Yorker Diner,44,78,652,496,133,541
81,boston,798 MAIN (CLOSED) (fka Panache),90,563,127,428,142,226
82,boston,BEL CANTO,334,221,106,369,562,68
83,boston,Cajun Yankee,407,19,496,671,534,150
84,boston,BACK BAY BISTRO,302,148,457,450,635,213
85,boston,Venus Seafood in the Rough,652,288,671,369,334,134
86,boston,BAY TOWER ROOM,418,620,501,669,640,105
87,boston,Sabra,60,565,427,369,227,109
88,boston,Figs,675,490,124,526,515,136
89,boston,"SKEWERS, THE",430,318,671,179,365,106
90,boston,S & S Restaurant,15,633,594,478,482,350
91,boston,SABLONE'S VEAL 'N VINTAGE,596,212,183,287,588,403
92,boston,Rita's Place,597,241,162,595,364,615
93,boston,The Village Smokehouse,221,498,369,106,227,334
94,boston,CHARLIE'S SANDWICH SHOPPE,496,44,517,521,444,78
95,boston,MONTIEN,9,593,140,55,338,580
96,boston,RUBIN'S,79,369,380,106,398,114
97,boston,Tien's Thai,186,364,595,524,241,255
98,boston,DAD'S BEANTOWN DINER,133,318,179,227,497,75
99,boston,DAKOTA'S,644,586,163,603,595,669
100,boston,HARVARD BOOKSTORE CAFE,369,438,156,427,527,616
101,boston,BLACK ROSE,54,323,512,133,421,227
102,boston,MEXICAN CUISINE,420,427,529,523,521,579
103,boston,ANTHONY'S PIER 4,505,298,175,163,162,46
104,boston,La Famiglia Ristorante,675,490,124,526,515,136
105,boston,Hilltop Steak House,17,642,64,61,589,134
106,boston,Sami's 24 Hours,519,583,480,424,254,30
107,boston,Il Panino,675,490,124,526,515,136
108,boston,Alexander's,206,408,635,174,457,198
109,boston,Streets Cafe,508,438,430,365,304,288
110,boston,Viet Restaurant,496,517,407,315,397,205
111,boston,COLORADO PUBLIC LIBRARY,70,553,653,413,87,38
112,boston,Washington St. (CLOSED),4,33,613,342,516,322
113,boston,Rosalie's,595,379,62,148,601,649
114,boston,CASA PORTUGAL,222,308,91,608,487,233
115,boston,Caffe Lampara,360,373,409,454,93,639
116,boston,Ken's Steak House,17,408,608,397,565,91
117,boston,DYNASTY,334,221,493,9,275,642
118,boston,Carlo Marino's Ristorante,294,290,337,164,538,142
119,boston,FROGG LANE BAR & GRILLE,54,113,157,227,197,109
120,boston,Marcella's,675,490,124,526,515,136
121,boston,Grape Vine,293,661,294,428,353,127
122,boston,Buoniconti's,502,612,186,174,245,294
123,boston,Brodie's Cafe,106,369,166,380,427,0
124,boston,Blacksmith House Outdoor Cafe,78,652,496,204,505,110
125,boston,Cafe Brazil,288,547,474,605,491,487
126,boston,Villa Francesca,146,87,302,239,635,70
127,boston,LAS BRISAS,219,109,323,546,421,227
128,boston,A Steak in the Neighborhood,227,671,219,28,378,75
129,boston,CORNWALL'S,293,453,552,342,43,137
130,boston,STAGE DELI,351,221,369,652,334,642
131,boston,Five North Square,146,571,30,450,433,346
132,boston,ANOTHER SEASON,383,659,225,576,218,563
133,boston,GALERIA UMBERTO,380,5,398,541,498,318
134,boston,LUCKY GARDEN,106,435,398,380,280,129
135,boston,PLAZA DINING ROOM (aka Cafe Plaza),199,116,627,620,659,187
136,boston,YANGTZE RIVER,17,134,642,654,565,9
137,boston,STELLINA'S,612,578,299,643,661,457
138,boston,Donatello's,188,244,120,463,466,661
139,boston,Miracle of Science,20,606,238,297,184,248
140,boston,LEGAL SEA FOODS,288,652,643,496,78,369
141,boston,CAFE ROUGE,78,318,489,505,376,508
142,boston,LA GROCERIA RISTORANTE ITALIANO,293,534,343,288,635,527
143,boston,DALI,199,370,368,307,620,294
144,boston,MASADA,430,365,369,166,508,427
145,boston,SPINNAKER ITALIA,460,1,198,38,565,148
146,boston,The Wursthaus,308,60,49,512,421,109
147,boston,Coolidge Corner Clubhouse,15,633,594,478,482,350
148,boston,HARD ROCK CAFE,227,60,219,133,75,49
149,boston,EUROPEAN RESTAURANT,334,133,380,369,221,252
150,boston,MR. BARTLEY'S BURGER COTTAGE,541,318,227,380,216,369
151,boston,Sushi-Nagoya,316,7,546,53,98,382
152,boston,NO NAME,369,221,427,216,380,227
153,boston,Bangkok and Hong Kong Cuisine (fka Ahan-Thai),60,278,227,208,641,638
154,boston,Selaam,8,462,304,508,318,648
155,boston,Vinny Marino's,642,565,654,53,546,134
156,boston,HAMPSHIRE HOUSE,501,370,669,620,379,62
157,boston,JOSEPH'S AQUARIUM,38,174,553,70,148,213
158,boston,Fuddruckers,304,79,590,365,75,200
159,boston,Mateo's,565,518,533,338,336,547
160,boston,Caffe Bella,675,490,124,526,515,136
161,boston,CHERRYSTONES,133,148,38,56,60,29
162,boston,ICARUS,199,620,503,225,90,659
163,boston,Cecil's,656,449,324,93,154,526
164,boston,La Rivage,283,503,223,603,659,563
165,boston,NEW KOREA,516,255,645,588,4,476
166,boston,Cafe Marliave,91,233,308,487,474,650
167,boston,PONTE VECCHIO,218,544,636,503,576,429
168,boston,Bluestone Bistro,562,68,369,493,573,117
169,boston,White Rainbow,225,283,383,592,659,199
170,boston,FELICIA'S,394,439,167,174,265,87
171,boston,DAVIDE,428,418,199,348,576,116
172,boston,CAFE PARADISO,334,493,102,95,369,562
173,boston,Boylston's (fka The Steak Place),565,17,70,397,1,555
174,boston,GOEMON,652,288,122,333,369,565
175,boston,UPSTAIRS AT THE PUDDING,428,10,90,199,164,405
176,boston,Spasso Restaurant & Bar,675,490,124,526,515,136
177,boston,CHEZ NOUS,428,563,348,620,659,226
178,boston,Maluken Japanese Restaurant,270,675,536,526,124,515
179,boston,Barbeques International,0,511,333,633,359,381
180,boston,Boston Sail Loft,227,133,369,453,343,284
181,boston,MOON VILLA,207,445,304,252,398,129
182,boston,BUTECO,333,131,380,652,288,369
183,boston,Anchovies,639,360,374,409,340,532
184,boston,JULIEN,640,426,105,447,620,187
185,boston,NARA RESTAURANT,502,643,76,265,245,545
186,boston,Botolph's on Tremont,191,371,369,332,148,433
187,boston,Union Grille,661,223,113,109,503,219
188,boston,Elephant Walk,675,490,124,526,515,136
189,boston,Dover Grille & Cafe,103,163,83,13,525,379
190,boston,HOULIHAN'S,219,227,49,221,512,642
191,boston,SIAM CUISINE,255,597,31,61,546,64
192,boston,HOUSE OF SIAM,588,140,522,276,591,432
193,boston,LE BOCAGE,90,428,199,348,164,226
194,boston,RARITIES,620,116,576,418,187,428
195,boston,The Blue Room,675,490,124,526,515,136
196,boston,MILK STREET CAFE,438,288,319,430,652,106
197,boston,Cafe Escadrille,163,653,62,379,206,126
198,boston,CAFE BUDAPEST,659,418,90,576,370,495
199,boston,Cafe Rose,430,365,520,261,207,559
200,boston,NADIA'S EASTERN STAR,131,333,336,133,652,288
201,boston,THAI CUISINE,496,420,588,32,288,645
202,boston,PILLAR HOUSE,199,90,620,120,116,370
203,boston,CHART HOUSE,70,38,413,667,653,553
204,boston,CACTUS CLUB,60,227,516,612,56,197
205,boston,SAPORITO,142,563,437,164,356,469
206,boston,Bishop's,643,439,76,408,245,241
207,boston,Emilio's,148,38,460,545,534,543
208,boston,Demo's Restaurant,68,380,334,117,493,106
209,boston,AUJOURD'HUI,640,105,564,27,242,426
210,boston,India Pavilion,565,496,432,233,288,134
211,boston,AVEROF,227,60,323,421,49,109
212,boston,Domenico's,255,565,312,137,546,524
213,boston,NEWBURY STEAK HOUSE,396,219,331,512,132,49
214,boston,Gourmeli's,578,581,514,91,555,277
215,boston,GIACOMO'S,294,337,612,290,330,196
216,boston,Cantares,546,531,219,109,323,291
217,boston,FLORENCE'S RESTAURANT,588,308,220,37,205,32
218,boston,BOB THE CHEF,569,343,19,315,407,133
219,boston,BANGKOK CUISINE,496,588,420,32,80,183
220,boston,CHEF CHANG'S HOUSE,427,565,143,42,308,386
221,boston,Museum of Fine Arts Restaurant,259,475,56,325,571,608
222,boston,CHAU CHOW,129,5,435,493,519,521
223,boston,Enzo's Ristorante d'Italia,675,490,124,526,515,136
224,boston,IRUNA,233,17,315,642,516,134
225,boston,COMMONWEALTH BREWING COMPANY,133,227,546,60,54,421
226,boston,Ottavio's (CLOSED),121,148,379,516,206,281
227,boston,MATSU-YA,288,471,565,456,149,593
228,boston,GOLDEN PALACE,9,221,210,222,17,509
229,boston,Pour House,497,396,219,489,376,378
230,boston,Clarke's,505,378,166,102,286,288
231,boston,BOODLE'S OF BOSTON,161,665,62,163,601,130
232,boston,ATLANTIC FISH COMPANY,135,508,512,531,331,438
233,boston,CASA MEXICO,474,173,431,518,80,112
234,boston,TURNER FISHERIES,163,653,379,62,665,206
235,boston,Mary Chung (CLOSED),521,0,435,106,579,129
236,boston,Rattlesnake Bar,366,372,111,367,585,303
237,boston,BNU,635,148,422,302,38,460
238,boston,RUDY'S CAFE,369,288,491,493,68,275
239,boston,Thornton's,438,133,179,113,318,343
240,boston,HARVEST,603,343,612,164,148,586
241,boston,The Landing,219,512,49,227,109,421
