,Name,Ingredients,Instructions,Image
25,Vodka Spritzer,"['1 lemon', '1 cup sliced strawberries', '12 ounces (1 ½ cups) vodka', '3 ounces (6 tablespoons) simple syrup', '3 ounces (6 tablespoons) unsweetened 100% cranberry juice*', 'Soda water, for serving', 'Ice, for serving', 'For the garnish: 1 handful fresh mint leaves']","['1. Slice the lemon into rounds. Thinly slice the strawberries.', '2. Place the lemons and strawberries in a pitcher with the vodka, simple syrup, and cranberry juice. Marinate at least 30 minutes (or up to 4 hours).', '3. To serve, pour 3 ounces (6 tablespoons) of the vodka mix over ice and top with a splash of soda water to taste. Garnish with the fruit from the pitcher and sprigs of fresh mint leaves.']",https://www.acouplecooks.com/wp-content/uploads/2020/10/Vodka-Spritzer-003.jpg
26,Peppermint Patty Drink,"['6 ounces (¾ cup) hot chocolate*', '1 ½ ounces (3 tablespoons) Creme de Cacao', '1 ½ ounces (3 tablespoons) 30 proof or 60 proof** peppermint schnapps', 'For the garnish: Whipped cream, crushed peppermint candies (optional)']","['1. Make the homemade hot chocolate (or make it using purchased cocoa mix*).', '2. Mix all ingredients together in a mug. Top with whipped cream and crushed peppermint candies, if desired.']",https://www.acouplecooks.com/wp-content/uploads/2021/09/Peppermint-Patty-Drink-002.jpg
27,Rusty Nail,"['2 ounces (4 tablespoons) Scotch whisky', '½ ounce (1 tablespoon) Drambuie', 'Ice, to serve (try clear ice!)', 'For the garnish: Lemon peel']","['1. Place the Scotch whiskey and Drambuie in a lowball glass and stir.', '2. Add a large ice cube.', '3. Use a knife to remove a 1″ wide strip of the lemon peel. Squeeze the lemon peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve.']",https://www.acouplecooks.com/wp-content/uploads/2020/07/Rusty-Nail-006.jpg
28,Virgin Strawberry Daiquiri,"['12 ounces (2 cups) frozen strawberries', '¼ cup simple syrup', '3 tablespoons lime juice, fresh squeezed', '1 cup tonic water or lemon lime soda (Sprite), plus more for serving', '1/2 to 3/4 cup water', '1 cup ice']","['1. Place all ingredients in a blender and blend until a smooth, thick puree forms, adding just enough water and stopping and scraping as necessary. (All blenders are different, so start at the low end of the water and work up.)', '2. If desired, serve with a small splash of lemon lime soda in each glass (this can make a more drinkable texture, depending on how much liquid you use). Garnish with fresh strawberries and lime wheels, if desired.']",https://www.acouplecooks.com/wp-content/uploads/2021/04/Virgin-Strawberry-Daiquiri-005.jpg
29,Brown Derby Cocktail,"['3 ounces (6 tablespoons) bourbon whiskey', '1 ½ ounces (3 tablespoons) fresh squeezed grapefruit juice*', '¾ ounce (1 ½ tablespoons) honey syrup', 'For the garnish: grapefruit slice (optional)']","['1. Add the bourbon, grapefruit juice, and honey syrup to a cocktail shaker. Fill it with ice and shake it until cold.', '2. Strain into a cocktail glass. If desired, garnish with a grapefruit slice.']",https://www.acouplecooks.com/wp-content/uploads/2020/06/Brown-Derby-Cocktail-001.jpg
30,Milk Punch,"['3 ounces (6 tablespoons) whole milk', '1 ½ ounces (3 tablespoons) bourbon whiskey', '½ ounce (1 tablespoon) brandy', '½ ounce (1 tablespoon) simple syrup', '½ teaspoon vanilla', 'For the garnish: grated nutmeg, star anise (optional)']","['1. Add all ingredients to a cocktail shaker. Fill it with ice and shake it until cold.', '2. Strain the drink into a lowball glass. Garnish with freshly grated nutmeg and if desired, star anise.']",https://www.acouplecooks.com/wp-content/uploads/2020/07/Milk-Punch-005.jpg
31,Apple Cider Mimosa,"['1 tablespoon sugar', '½ teaspoon cinnamon', '2 ounces (¼ cup) apple cider', '4 ounces\xa0 (½ cup) sparkling wine (champagne, Prosecco or other)*', '1 teaspoon Cointreau, optional']","['1. Mix the cinnamon and sugar on a plate. Wet the rims of the champagne flutes and press them into cinnamon sugar (provides enough for 6 drinks).', '2. Tilt the champagne flute and pour in the sparkling wine (it will fill about 2/3 of the glass). Top off with cider and then add the splash of Cointreau if desired.']",https://www.acouplecooks.com/wp-content/uploads/2020/09/Apple-Cider-Mimosas-001.jpg
32,Royal Flush Drink,"['1 ounce* peach schnapps', '2 ounces Crown Royal whiskey', '1 ½ ounces 100% unsweetened cranberry juice', '1 teaspoon simple syrup (omit if using sweetened cranberry juice)', 'Club soda, if desired', 'Ice, for serving (try clear ice!)']","['1. Fill a lowball glass with ice. Add the peach schnapps, Crown Royal, cranberry juice, and simple syrup and stir gently to combine.', '2. Add a splash of soda water if desired. Serve immediately.']",https://www.acouplecooks.com/wp-content/uploads/2021/08/Royal-Flush-Drink-006.jpg
33,Mezcal Mule,"['½ ounce (1 tablespoon) mezcal*', '1 ½ ounces (3 tablespoons) tequila', '½ ounce (1 tablespoon) fresh lime juice', '4 ounces (½ cup) ginger beer', 'For the garnish: lime slice']","['1. In a copper mug or glass, pour in the mezcal, tequila, lime juice, and ginger beer.', '2. Add ice and garnish with a lime slice. Serve immediately.']",https://www.acouplecooks.com/wp-content/uploads/2020/05/Irish-Mule-001.jpg
34,Boulevardier Cocktail,"['1 ½ ounces (3 tablespoons) bourbon whiskey', '1 ounce (2 tablespoons) sweet or semi-sweet red vermouth', '1 ounce (2 tablespoons) Campari', 'Ice, for serving (try clear ice!)', 'For the garnish: Orange peel']","['1. Combine the bourbon whiskey, sweet vermouth, and Campari in a cocktail mixing glass (or any other type of glass). Fill the mixing glass with 1 handful ice and stir continuously for 30 seconds.', '2. Add ice to a lowball glass, and strain the drink into the glass (or you can use a cocktail glass without ice).', '3. Use a knife to remove a 1″ wide strip of the orange peel. Squeeze the orange peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve.']",https://www.acouplecooks.com/wp-content/uploads/2020/04/Negroni-Boulevardier-020.jpg
35,Tom Collins Cocktail,"['2 ounces (4 tablespoons) dry gin', '3/4 to 1 ounce (1 1/2 to 2 tablespoons) simple syrup\xa0or maple syrup', '1 ounce (2 tablespoons) lemon juice', '½ cup soda water', 'Ice (try our clear ice!)', 'For the garnish: maraschino cherry, lemon wheel']","['1. Add the gin, syrup and lemon juice to a cocktail shaker with 4 ice cubes. Shake well until chilled.', '2. Strain the liquid into an ice filled glass, and top off the glass with soda water. Garnish with a lemon wheel and cocktail cherry.']",https://www.acouplecooks.com/wp-content/uploads/2019/12/Tom-Collins-001.jpg
36,Classic Shandy,"['6 ounces pale ale or lager beer', '6 ounces ginger ale, ginger beer, lemon lime soda (Sprite), or sparkling lemonade', 'For the garnish: lemon wedge (optional)', 'Optional: 1 dash bitters adds a complex flavor']",['1. Add the beer and mixer to a glass and stir gently to combine. Garnish with a lemon wedge.'],https://www.acouplecooks.com/wp-content/uploads/2021/02/Shandy-Recipe-005.jpg
37,Tequila and Tonic,"['1 ½ ounces (3 tablespoons) tequila', '2 lime wedges, plus more for serving', '4 ounces (½ cup) tonic water', 'Ice, for serving (try clear ice!)']","['1. Fill a glass with ice. Add the tequila and squeeze in the lime wedges.\xa0', '2. Pour in the tonic water. Serve with additional lime wedges.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/05/Tequila-and-Tonic-005.jpg
38,Ginger Martini Cocktail,"['2 ounces vodka', '1 ounce ginger simple syrup', '1 ounce lemon juice', '½ ounce dry vermouth', 'For the garnish: lemon slice or crystalized ginger']","['1. Add the vodka, ginger simple syrup, lemon juice, and dry vermouth to a cocktail shaker and fill it with ice. Shake vigorously until cold.', '2. Strain into cocktail glass. Garnish with a lemon slice or crystalized ginger, if desired.']",https://www.acouplecooks.com/wp-content/uploads/2020/09/Ginger-Cocktail-001.jpg
39,Americano Cocktail,"['1 ounce (2 tablespoons) Campari', '1 ounce (2 tablespoons) sweet vermouth', '4 ounces (½ cup) soda water', 'For the garnish: Lemon or orange wedge']","['1. In a highball glass, stir together the Campari and vermouth. Add ice and top with soda water.', '2. Stir lightly and garnish with a lemon or orange wedge.']",https://www.acouplecooks.com/wp-content/uploads/2020/04/Americano-Cocktail-010.jpg
40,Siesta Cocktail,"['2 ounces* tequila blanco', '½ ounce Campari', '½ ounce grapefruit juice', '½ ounce lime juice', '½ ounce simple syrup', 'To garnish: grapefruit, lemon or lime wedge']","['1. Place the tequila, Campari, grapefruit juice, lime juice, and simple syrup in a cocktail shaker. Add 2 handfuls of ice and shake until cold.', '2. Strain the drink into a cocktail glass. Garnish with a citrus wedge if desired.']",https://www.acouplecooks.com/wp-content/uploads/2021/05/Siesta-Cocktail-001.jpg
41,10 Hot Alcoholic Drinks to Keep You Warm,"['10 allspice berries', '10 whole cloves', '3 star anise pods', '3 cinnamon sticks', '1 750 ml bottle dry red wine*', '½ cup water', '¼ cup maple syrup or honey', '¼ cup brandy or Cognac', '1 small orange, for garnish']","['1. Add the spices to the bottom of a pot. Toast over medium heat for 2 to 3 minutes, stirring occasionally, until fragrant.', '2. Turn the heat to low. Add the water, then pour in the wine and maple syrup and stir. Warm for 30 minutes on low heat, just barely bubbling. Do not let the wine come to a full simmer (or the liquid will reduce too much).']",https://www.acouplecooks.com/wp-content/uploads/2021/08/Mulled-Wine-013.jpg
42,Classic Transfusion Drink,"['2 ½ ounces* vodka', '2 ounces Concord grape juice', '½ ounce lime juice', '4 ounces ginger ale or ginger beer', 'Ice, for serving (or try clear ice)']","['1. Add the vodka, Concord grape juice, and lime juice to ice filled highball glass and stir.', '2. Top off with the ginger ale.']",https://www.acouplecooks.com/wp-content/uploads/2021/03/Transfusion-Cocktail-005.jpg
43,Crown and Coke,"['2 ounces (¼ cup) Crown Royal whiskey', '4 ounces (½ cup) cola', '1 lemon wedge']","['1. Add the Crown Royal whiskey and ice to a glass and stir to combine.', '2. Top with the cola. Squeeze in the juice from the lemon wedge and serve. Garnish with additional lemon wedges or wheels.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/12/Crown-and-Coke-002.jpg
44,Old Pal Cocktail,"['1 ½ ounces (3 tablespoons) bourbon or rye whiskey', '1 ounce (2 tablespoons) dry vermouth', '1 ounce (2 tablespoons) Campari', 'For the garnish: lemon peel']","['1. Combine the whiskey, vermouth, and Campari in a cocktail mixing glass (or any other type of glass). Fill the mixing glass with 1 handful ice and stir continuously for 30 seconds.', '2. Strain into cocktail glass. Garnish with a lemon peel.']",https://www.acouplecooks.com/wp-content/uploads/2020/04/Old-Pal-Cocktail-001.jpg
45,Bitter Giuseppe (Cynar Manhattan),"['2 ounces Cynar', '1 ounce sweet vermouth', '½ tablespoon lemon juice (¼ ounce)', '½ tablespoon orange bitters (6 dashes)', 'Ice, for serving (try clear ice!)', 'Lemon twist, for garnish']","['1. Combine the Cynar, sweet vermouth, lemon juice, and bitters in a cocktail mixing glass (or any other type of glass). Fill the mixing glass with 1 handful ice and stir continuously for 30 seconds.', '2. Add ice to a lowball glass, and strain the drink into the glass (or you can use a cocktail glass without ice). Garnish with a lemon twist.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/05/Bitter-Giuseppe-003.jpg
46,Apple Cider Hot Toddy,"['½ cup apple cider', '1 ½ ounces (3 tablespoons) bourbon whiskey*', '½ tablespoon honey (or maple syrup)', '1 orange wedge', 'For the garnish: 3 cloves, 1 cinnamon stick, and 1 star anise (optional)']","['1. Warm the apple cider on the stove or in a microwave to 200 degrees Fahrenheit, or very hot but not boiling.', '2. In the serving glass, stir together the bourbon and honey. Pour in the hot apple cider.', '3. Garnish with a orange wedge, squeezing in the juice, and the cloves, cinnamon stick, and star anise (if using).', '4. Variation for 8 servings: Warm 4 cups apple cider, 1 ½ cups bourbon, and 4 tablespoons honey on the stovetop until hot but not boiling. Go to Step 3 to garnish each glass.']",https://www.acouplecooks.com/wp-content/uploads/2021/10/Apple-Cider-Hot-Toddy-008.jpg
47,White Russian,"['2 ounces (4 tablespoons) vodka', '1 ounce (2 tablespoons) Kahlua (or other coffee liqueur)', '1 ounce (2 tablespoons) heavy cream', 'Ice, for serving (try clear ice)']","['1. Add the vodka and Kahlua to a low ball glass. Fill it with ice.', '2. Top with the cream. Stir until cold (or stir just a bit to get the swirl effect).']",https://www.acouplecooks.com/wp-content/uploads/2020/07/White-Russian-003.jpg
48,Long Beach Iced Tea,"['½ ounce* vodka', '½ ounce tequila', '½ ounce white rum', '½ ounce gin', '½ ounce Cointreau (or other orange liqueur like Triple Sec)', '1 ounce fresh lemon juice', '1 ounce simple syrup', '2 ounces unsweetened 100% cranberry juice**', 'For the garnish: lemon wedge, fresh mint (optional)', 'Ice, for serving (try clear ice!)']",['1. Combine all ingredients in highball glass. Fill it with ice and stir. Garnish with lemon wedges and fresh mint and serve.'],https://www.acouplecooks.com/wp-content/uploads/2022/03/Long-Beach-Iced-Tea-003.jpg
